Year;Y;M;X;C;G;I;
2000;1677,2;548,7;696,9;752,6;412,2;348,2;
2001;1691;561,9;720,3;754,3;420;343;
2002;1698,9;597,7;751,7;765,2;429;338,9;
2003;1705,5;591,6;742,7;775,4;430;336,6;
2004;1751;633,8;765,1;811,5;436,6;359,4;
2005;1792;705,3;824,2;841,5;441,8;379,3;
2006;1862,1;803,9;909,4;866,3;453,1;427,7;
2007;1879;850,8;942,6;881,6;458,5;439,1;
2008;1869,4;891,4;979,1;885,9;473,4;418;
2009;1777,7;784,9;888,8;855,5;487,8;329,3;
2010;1810,9;789,1;914,9;862,2;495,6;327,3;
2011;1835,1;847,9;980,8;864,6;492,5;345,2;
2012;1839,3;870,9;992,2;869;496,2;353,1;
2013;1856,5;883,7;1008,1;871,5;495,7;365,1;
2014;1886,5;918,1;1039,7;879,4;505,3;380,8;
2015;1930,7;960;1076,9;899,5;513,8;400,7;
2016;1993,4;995,1;1121,2;921,2;514,6;431,2;
2017;2049,6;1036,8;1175,1;942,3;519,1;449,4;
2018;2090,4;1089,6;1214,5;975,2;519,2;468,9;
2019;2121,6;1122,4;1269,3;990,6;523,6;458,8;
2020;2070,2;1091,1;1191,8;977;514,5;475,2;
2021;2211,9;1187,3;1283,3;1030,5;538,2;543,4;
2022;2272,3;1264,5;1422,4;1015,7;523,2;567,6;
2023;2315,2;1372,8;1613,2;1026,3;523,5;498,2;